date,symbol,action,shares,price,value,profit,pnl_pct
2024-06-18 00:00:00-04:00,SPY,BUY,3,540.0004272460938,1620.0012817382812,,
2024-06-20 00:00:00-04:00,MSFT,SELL,4,441.58294677734375,1766.331787109375,16.3280029296875,0.9330267212731334
2024-06-20 00:00:00-04:00,TSLA,SELL,10,181.57000732421875,1815.7000732421875,-58.699951171875,-3.1316661548926628
2024-06-20 00:00:00-04:00,SPY,SELL,3,538.533447265625,1615.600341796875,-4.40093994140625,-0.27166274440746047
2024-06-27 00:00:00-04:00,AAPL,BUY,9,212.86180114746094,1915.7562103271484,,
2024-06-28 00:00:00-04:00,MSFT,BUY,4,442.82135009765625,1771.285400390625,,
2024-06-28 00:00:00-04:00,TSLA,BUY,10,197.8800048828125,1978.800048828125,,
2024-06-28 00:00:00-04:00,SPY,BUY,3,537.5250244140625,1612.5750732421875,,
2024-07-01 00:00:00-04:00,AAPL,SELL,9,215.49647521972656,1939.468276977539,23.712066650390625,1.237739255264707
2024-07-01 00:00:00-04:00,MSFT,SELL,4,452.51104736328125,1810.044189453125,38.7587890625,2.1881730100610803
2024-07-01 00:00:00-04:00,TSLA,SELL,10,209.86000061035156,2098.6000061035156,119.79995727539062,6.054171938510814
2024-07-01 00:00:00-04:00,SPY,SELL,3,538.6312866210938,1615.8938598632812,3.31878662109375,0.20580664281391334
2024-07-02 00:00:00-04:00,TSLA,BUY,8,231.25999450683594,1850.0799560546875,,
2024-07-03 00:00:00-04:00,TSLA,SELL,8,246.38999938964844,1971.1199951171875,121.0400390625,6.542422054051059
2024-07-05 00:00:00-04:00,AAPL,BUY,8,225.03102111816406,1800.2481689453125,,
2024-07-05 00:00:00-04:00,MSFT,BUY,4,463.2409973144531,1852.9639892578125,,
2024-07-05 00:00:00-04:00,TSLA,BUY,7,251.52000427246094,1760.6400299072266,,
2024-07-05 00:00:00-04:00,SPY,BUY,3,547.81689453125,1643.45068359375,,
2024-07-08 00:00:00-04:00,MSFT,SELL,4,461.9331970214844,1847.7327880859375,-5.231201171875,-0.2823153176317425
2024-07-08 00:00:00-04:00,TSLA,SELL,7,252.94000244140625,1770.5800170898438,9.939987182617188,0.5645666924397348
2024-07-08 00:00:00-04:00,SPY,SELL,3,548.4490356445312,1645.3471069335938,1.89642333984375,0.11539277440907579
2024-07-09 00:00:00-04:00,TSLA,BUY,7,262.3299865722656,1836.3099060058594,,
2024-07-09 00:00:00-04:00,SPY,BUY,3,548.9822998046875,1646.9468994140625,,
2024-07-10 00:00:00-04:00,AAPL,SELL,8,231.6326141357422,1853.0609130859375,52.812744140625,2.9336368758294973
2024-07-10 00:00:00-04:00,TSLA,SELL,7,263.260009765625,1842.820068359375,6.510162353515625,0.3545241645880906
2024-07-10 00:00:00-04:00,SPY,SELL,3,554.4146728515625,1663.2440185546875,16.297119140625,0.9895351906259429
2024-07-11 00:00:00-04:00,AAPL,BUY,8,226.25392150878906,1810.0313720703125,,
2024-07-11 00:00:00-04:00,NVDA,BUY,15,127.35977172851562,1910.3965759277344,,
